,zip_code,prefectures_kana,municipalities_kana,town_area_kana,prefectures_kanji,municipalities_kanji,town_area_kanji,point_location,area_location_northeast,area_location_southwest
0,7800054,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｲｵｲﾁﾖｳ,高知県,高知市,相生町,"33.5648591, 133.5459739","33.56595428029149, 133.5476424","33.56325631970849, 133.544137"
1,7810813,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｵﾔｷﾞﾁﾖｳ,高知県,高知市,青柳町,"33.5547442, 133.564556","33.5570852, 133.5682737","33.5529293, 133.5617682"
2,7800936,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｶｲｼﾁﾖｳ,高知県,高知市,赤石町,"33.5574023, 133.5111074","33.5586183802915, 133.5126741","33.5559204197085, 133.5093669"
3,7808072,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｹﾎﾞﾉﾁﾖｳ,高知県,高知市,曙町,"33.5503258, 133.4915594","33.5533685, 133.495873","33.5474215, 133.4835391"
4,7808061,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗｺｳ,高知県,高知市,朝倉甲,"33.5408795, 133.497575","33.54600480000001, 133.5039983","33.53837960000001, 133.4849284"
5,7808062,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗｵﾂ,高知県,高知市,朝倉乙,"33.5507157, 133.4844901","33.551202, 133.4860524302915","33.5459621, 133.4833544697085"
6,7808063,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾍｲ,高知県,高知市,朝倉丙,"33.5517308, 133.4851953","33.5530797802915, 133.4865442802915","33.55038181970851, 133.4838463197085"
7,7808064,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾃｲ,高知県,高知市,朝倉丁,"33.5456608, 133.4801277","33.5510638, 133.4850964","33.540899, 133.4714596"
8,7808065,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾎﾞ,高知県,高知市,朝倉戊,"33.5304947, 133.477119","33.54036019999999, 133.491601","33.5254574, 133.4740161"
9,7808066,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗｷ,高知県,高知市,朝倉己,"33.5305314, 133.4861447","33.5388891, 133.4977525","33.524047, 133.476088"
10,7808077,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾆｼﾏﾁ,高知県,高知市,朝倉西町,"33.539893, 133.4777208","33.5448509, 133.4856059","33.5364895, 133.4749881"
11,7808076,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾋｶﾞｼﾏﾁ,高知県,高知市,朝倉東町,"33.5454245, 133.497575","33.5487954, 133.5008534","33.5421488, 133.4948526"
12,7808075,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾐﾅﾐﾏﾁ,高知県,高知市,朝倉南町,"33.542304, 133.4936649","33.5440764, 133.4966944","33.5404032, 133.4911089"
13,7808074,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾖｺﾏﾁ,高知県,高知市,朝倉横町,"33.5452549, 133.4927626","33.5482491, 133.4963451","33.5434078, 133.4897632"
14,7808073,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾎﾝﾏﾁ,高知県,高知市,朝倉本町,"33.5468321, 133.4891529","33.5496357, 133.4949869","33.5444019, 133.484473"
15,7800938,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻﾋｴｷﾏｴﾁﾖｳ,高知県,高知市,旭駅前町,"33.5573182, 133.5087019","33.5591811, 133.5101839802915","33.5560264, 133.5074860197085"
16,7800943,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻﾋｶﾐﾏﾁ,高知県,高知市,旭上町,"33.5565055, 133.5037402","33.5581715802915, 133.5059156","33.5554736197085, 133.5020487"
17,7800955,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻﾋﾃﾝｼﾞﾝﾁﾖｳ,高知県,高知市,旭天神町,"33.5604475, 133.5047927","33.5640528, 133.507829","33.55741830000001, 133.5018899"
18,7800935,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻﾋﾏﾁ,高知県,高知市,旭町,"33.5556563, 133.5099047","33.5576406, 133.5163735","33.5545393, 133.5023828"
19,7810010,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｿﾞｳﾉ,高知県,高知市,薊野,"33.5919376, 133.553485","33.601397, 133.562099","33.5842617, 133.5448127"
20,7810013,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｿﾞｳﾉﾅｶﾏﾁ,高知県,高知市,薊野中町,"33.5799198, 133.5588923","33.5833286, 133.5626437","33.5769534, 133.5561263"
